STESEN,EG9222,EG9022,EG9024,EG9420,EP9202,EP9102,EG9026,EP9104,EG9028,EG9030,EG9322,EP9204,EG9032,EP9106,EG9122,EG9034,ES9052,EG9224
GEMAS,,,,7:40,,,,,,,15:10,,,,,,,
BATANG MELAKA,,,,7:56,,,,,,,15:26,,,,,,,
PULAU SENANG / TAMPIN,,,,8:21,,,,,,,15:42,,,,,,,
SEREMBAN,,,,8:45,,,,,,,16:15,,,,,,,
KAJANG,,,,9:28,,,,,,,16:58,,,,,,,
BANDAR TASIK SELATAN,,,,9:44,,,,,,,17:14,,,,,,,
KL SENTRAL,7:00,8:35,9:50,10:04,10:55,11:25,11:50,14:40,15:05,16:20,17:34,18:00,18:55,20:40,21:50,22:15,23:05,23:30
KUALA LUMPUR,7:07,8:42,9:57,10:11,11:02,11:32,11:57,14:47,15:12,16:27,17:41,18:07,19:02,20:47,21:57,22:22,23:12,23:37
KEPONG SENTRAL,-,9:01,10:16,-,-,-,12:16,-,15:31,16:46,-,-,19:21,-,-,22:41,23:31,-
SUNGAI BULOH,7:34,-,-,10:39,-,-,-,-,-,-,-,-,-,-,-,-,23:41,0:04
RAWANG,-,9:27,10:42,10:58,-,-,12:42,-,15:57,17:12,-,-,19:47,-,-,23:07,0:00,-
BATANG KALI,-,-,-,11:12,-,-,-,-,-,-,18:41,-,-,-,-,-,0:15,-
KAULA KUBU BHARU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:23,-
TANJUNG MALIM,8:22,9:58,11:13,11:31,,,13:13,,16:28,17:43,19:00,,20:18,,23:12,23:38,0:36,0:52
BEHRANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:45,-
SLIM RIVER,-,10:12,11:27,-,-,-,13:27,-,16:42,17:57,-,-,20:32,-,-,23:52,0:52,-
SUNGKAI,-,10:26,11:41,-,-,-,13:41,-,16:56,18:11,-,-,20:46,-,-,0:06,1:06,-
TAPAH ROAD,9:02,10:40,11:55,12:11,-,-,13:55,-,17:10,18:25,19:40,-,21:00,-,23:52,0:20,1:20,1:32
KAMPAR,9:13,10:51,12:06,12:22,13:04,13:32,14:06,16:47,17:21,18:36,19:51,20:07,21:11,22:47,0:03,0:31,1:31,1:43
BATU GAJAH,9:24,11:02,12:17,12:34,13:14,13:42,14:17,16:57,17:32,18:47,20:03,20:17,21:22,22:57,0:15,0:42,1:42,1:54
IPOH,9:39,11:15,12:30,12:48,13:28,13:56,14:30,17:11,17:45,19:00,20:17,20:31,21:35,23:11,0:29,0:55,1:55,2:09
SUNGAI SIPUT,-,,,13:08,-,-,,-,,,-,-,,-,-,,,-
KUALA KANGSAR,10:10,,,13:20,13:59,14:26,,17:41,,,20:48,21:02,,23:41,1:00,,,2:40
PADANG RENGAS,-,,,13:27,-,-,,-,,,-,-,,-,-,,,-
TAIPING,10:29,,,13:40,14:18,14:45,,18:00,,,21:07,21:21,,0:00,1:20,,,2:59
BAGAN SERAI,10:52,,,-,-,-,,-,,,-,-,,-,-,,,3:22
PARIT BUNTAR,10:59,,,14:09,-,15:14,,18:29,,,21:36,-,,0:29,1:49,,,3:29
BUKIT MERTAJAM,-,,,-,-,15:30,,18:45,,,21:52,-,,0:45,2:05,,,-
BUTTERWORTH,-,,,-,-,15:40,,18:55,,,22:02,-,,0:55,2:15,,,-
TASEK GELUGOR,11:23,,,14:33,,,,,,,,-,,,,,,3:53
SUNGAI PETANI,11:32,,,14:42,15:18,,,,,,,22:21,,,,,,4:02
GURUN,11:45,,,14:55,-,,,,,,,-,,,,,,4:15
ALOR SETAR,12:02,,,15:12,15:47,,,,,,,22:50,,,,,,4:32
ANAK BUKIT,12:09,,,15:19,-,,,,,,,-,,,,,,4:39
ARAU ,12:25,,,15:35,16:09,,,,,,,23:12,,,,,,4:55
PADANG BESAR,12:45,,,15:55,16:30,,,,,,,23:30,,,,,,5:15
