STESEN,ES9051,EG9053,EG9121,EP9103,EG9025,EG9321,EG9221,EG9027,EG9029,EP9201,EG9031,EP9203,EP9105,EG9035,EG9037,EP9205,EG9425,EG9123
PADANG BESAR,,,,,,,7:47,,,11:15,,14:20,,,,17:13,18:05,
ARAU ,,,,,,,8:06,,,11:34,,14:39,,,,17:32,18:24,
ANAK BUKIT,,,,,,,8:22,,,-,,-,,,,-,18:40,
ALOR SETAR,,,,,,,8:29,,,11:55,,15:03,,,,17:54,18:47,
GURUN,,,,,,,8:46,,,-,,-,,,,-,19:05,
SUNGAI PETANI,,,,,,,8:59,,,12:24,,15:33,,,,18:23,19:18,
TASEK GELUGOR,,,,,,,9:08,,,-,,-,,,,-,19:28,
BUTTERWORTH,,,4:58,6:13,,7:25,-,,,-,,-,16:23,,,-,-,19:45
BUKIT MERTAJAM,,,5:09,6:24,,7:36,-,,,-,,-,16:34,,,-,-,19:56
PARIT BUNTAR,,,5:25,6:40,,7:52,9:32,,,-,,-,16:50,,,18:55,19:52,20:12
BAGAN SERAI,,,-,-,,-,9:39,,,-,,-,-,,,-,-,-
TAIPING,,,5:54,7:09,,8:21,10:02,,,13:24,,16:34,17:19,,,19:23,20:21,20:41
PADANG RENGAS,,,-,-,,-,-,,,-,,-,-,,,-,20:34,-
KUALA KANGSAR,,,6:13,7:28,,8:40,10:21,,,13:43,,16:53,17:38,,,19:42,20:41,21:00
SUNGAI SIPUT,,,-,-,,-,-,,,-,,-,-,,,-,20:53,-
IPOH,5:05,6:25,6:44,7:59,8:10,9:12,10:53,11:45,13:00,14:14,15:25,17:24,18:09,18:30,19:40,20:14,21:14,21:31
BATU GAJAH,5:19,6:39,6:57,8:12,8:24,9:25,11:06,11:59,13:14,14:27,15:39,17:37,18:22,18:44,19:54,20:27,21:27,21:44
KAMPAR,5:30,6:50,7:08,8:23,8:35,9:36,11:17,12:10,13:25,14:37,15:50,17:47,18:32,18:55,20:05,20:37,21:38,21:55
TAPAH ROAD,5:40,7:00,7:18,-,8:45,9:47,11:28,12:20,13:35,-,16:00,-,,19:05,20:15,-,21:49,22:05
SUNGKAI,5:53,7:13,-,-,8:58,-,-,12:33,13:48,-,16:13,-,,19:18,20:28,-,-,-
SLIM RIVER,6:07,7:27,-,-,9:12,-,-,12:47,14:02,-,16:27,-,,19:32,20:42,-,-,-
BEHRANG,6:15,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-
TANJUNG MALIM,6:23,7:40,7:56,-,9:25,10:27,12:08,13:00,14:15,-,16:40,-,,19:45,20:55,-,22:29,22:43
KUALA KUBU BHARU,6:39,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-
BATANG KALI,6:48,-,-,-,-,10:50,12:32,-,-,-,-,-,,-,-,-,22:53,-
RAWANG,7:03,8:15,-,-,10:00,-,-,13:35,14:50,-,17:15,-,,20:20,21:30,-,23:07,-
SUNGAI BULOH,7:25,-,-,-,-,-,13:07,-,-,-,-,-,,-,-,-,23:29,-
KEPONG SENTRAL,7:35,8:44,-,-,10:29,-,-,14:04,15:19,-,17:44,-,,20:49,21:59,-,-,-
KUALA LUMPUR,7:58,9:07,9:21,10:33,10:52,11:54,13:39,14:27,15:42,16:48,18:07,19:58,20:43,21:12,22:22,22:48,0:01,0:08
KL SENTRAL,8:05,9:15,9:30,10:40,11:00,12:08,13:47,14:35,15:50,16:55,18:15,20:05,20:50,21:20,22:30,22:55,0:11,0:13
BANDAR TASIK SELATAN,,,,,,12:24,,,,,,,,,,,0:27,
KAJANG,,,,,,12:40,,,,,,,,,,,0:43,
SEREMBAN,,,,,,13:28,,,,,,,,,,,1:31,
PULAU SEBANG / TAMPIN,,,,,,14:01,,,,,,,,,,,2:04,
BATANG MELAKA,,,,,,14:17,,,,,,,,,,,2:20,
GEMAS,,,,,,14:38,,,,,,,,,,,2:40,
